,min,max
Albania,0.00006,0.000252716125
Algeria,0.00010,0.000380892178119
Angola,0.00008,0.000324156798806
Argentina,0.00012,0.000476783003172
Australia,0.00059,0.00236356305737
Austria,0.00067,0.002661215972222
Azerbaijan,0.00017,0.000662791416667
Bahrain,0.00110,0.00438969625
Bangladesh,0.00024,0.000942396989303
Belarus,0.00009,0.000349018730469
Belgium,0.00047,0.001883699781225
Benin,0.00016,0.000646340965909
Bolivia,0.00008,0.000333153021037
Bosnia and Herzegovina,0.00009,0.000378357256944
Brazil,0.00020,0.000799144806178
Bulgaria,0.00009,0.000363552823489
Burkina Faso,0.00041,0.00164095
Cameroon,0.00023,0.000936603229167
Canada,0.00065,0.00261874703869
Chile,0.00014,0.000577926220781
China,0.00032,0.001265884455782
Colombia,0.00014,0.000578900811808
Costa Rica,0.00013,0.000535737615138
Cote d'Ivoire,0.00022,0.000861967838542
Croatia,0.00012,0.000472824501197
Denmark,0.00016,0.000631469737948
Dominican Republic,0.00016,0.000648900327511
Ecuador,0.00010,0.000407792846386
Egypt,0.00009,0.000370019140836
El Salvador,0.00017,0.000696260087445
Estonia,0.00015,0.000585990220518
Finland,0.00023,0.00093740514827
France,0.00083,0.003306318850863
Gabon,0.00308,0.012305721875
Georgia,0.00021,0.000840121433666
Germany,0.00091,0.00363884561208
Ghana,0.00005,0.000203805426136
Greece,0.00010,0.000399837669971
Guam,0.00015,0.0005890225
Guatemala,0.00014,0.000577986950758
Honduras,0.00026,0.001055919230769
Hong Kong,0.00026,0.001031104777452
Hungary,0.00015,0.000605121029314
India,0.00029,0.001154220675242
Indonesia,0.00010,0.000380805093954
Ireland,0.00060,0.002383148208841
Israel,0.00082,0.003289384718756
Italy,0.00102,0.004095673333143
Jamaica,0.00039,0.001552984198113
Japan,0.00032,0.001275480721765
Kazakhstan,0.00018,0.000701565597826
Kenya,0.00020,0.000805969277344
Kuwait,0.00020,0.000813544970238
Kyrgyzstan,0.00009,0.000376680972222
Latvia,0.00016,0.000630304023159
Lithuania,0.00010,0.000409905923533
Luxembourg,0.00024,0.0009584159375
Madagascar,0.00013,0.000531331083777
Malaysia,0.00016,0.000636898
Malta,0.00034,0.001355313125
Mexico,0.00021,0.000857082186737
Mongolia,0.00007,0.000293069831081
Morocco,0.00011,0.000441098970393
Mozambique,0.00024,0.000975380150754
Nepal,0.00009,0.000360544837692
Netherlands,0.00033,0.00133414205675
New Zealand,0.00035,0.001389034833333
Nicaragua,0.00009,0.000378137629494
Nigeria,0.00015,0.000611354488
Norway,0.00021,0.000834195460199
Oman,0.00023,0.000918526276178
Pakistan,0.00013,0.000505460979198
Panama,0.00012,0.000487526101577
Paraguay,0.00020,0.000804105698529
Peru,0.00015,0.000614877361641
Philippines,0.00015,0.000612244506881
Poland,0.00023,0.00093914045
Portugal,0.00021,0.000825750846024
Qatar,0.00015,0.000618307541478
Reunion,0.00038,0.0015212021875
Romania,0.00013,0.000507975
Russia,0.00013,0.000509832213086
Saint Vincent and the Grenadines,0.00022,0.000894820625
Saudi Arabia,0.00016,0.000646447059647
Senegal,0.00043,0.00171170475
Serbia,0.00008,0.000325741652974
Singapore,0.00068,0.002709200741856
Slovakia,0.00021,0.000821982368421
Slovenia,0.00011,0.000434707942584
South Africa,0.00022,0.000862262591045
Spain,0.00048,0.001922493452797
Sri Lanka,0.00012,0.000473466817823
Sweden,0.00025,0.000993990833333
Switzerland,0.00103,0.004115857138047
Taiwan,0.00010,0.000416169068182
Thailand,0.00012,0.000489363826756
Togo,0.00109,0.004368239516129
Trinidad and Tobago,0.00074,0.00295971375
Tunisia,0.00028,0.001123652145833
Turkey,0.00009,0.000378452976112
Ukraine,0.00011,0.000448334223192
United Arab Emirates,0.00024,0.000976682562041
United Kingdom,0.00061,0.002423235551552
United States,0.00111,0.004428473135903
Uruguay,0.00013,0.000510137121212
Venezuela,0.00008,0.000302471621656
Vietnam,0.00008,0.000324440272342
