,min,max
Albania,0.00008,0.000300893274734
Algeria,0.00026,0.00103931669682
Argentina,0.00019,0.000763581796039
Australia,0.00113,0.004531699375
Austria,0.00037,0.001479696215278
Azerbaijan,0.00046,0.001859113031915
Bahrain,0.00056,0.002222594956772
Bangladesh,0.00014,0.000565015253352
Belgium,0.00061,0.002442587003781
Benin,0.00016,0.000646778825758
Bolivia,0.00030,0.001201848488774
Brazil,0.00036,0.001452538724106
Bulgaria,0.00014,0.000573226666667
Burkina Faso,0.00032,0.00129806375
Cameroon,0.00044,0.001742429899135
Canada,0.00065,0.002591706315059
Chile,0.00026,0.001057759374182
China,0.00009,0.000355539230769
Colombia,0.00023,0.000930466507315
Costa Rica,0.00013,0.000538810142498
Cote d'Ivoire,0.00084,0.0033588325
Cyprus,0.00059,0.002365988645833
Denmark,0.00243,0.009703938125
Dominican Republic,0.00026,0.001036613810484
Ecuador,0.00036,0.001436325811688
Egypt,0.00013,0.00053552938403
El Salvador,0.00026,0.001059580227131
Fiji,0.00137,0.005497935
Finland,0.00029,0.001159861607143
France,0.00036,0.001458926284498
Gabon,0.00021,0.000836575208333
Germany,0.00048,0.001901546423135
Ghana,0.00021,0.000855007366589
Greece,0.00059,0.0023412783125
Guatemala,0.00011,0.000445207938508
Honduras,0.00017,0.000665214772727
Hong Kong,0.00027,0.001095476923077
Hungary,0.00019,0.000766766684255
India,0.00017,0.000697988454127
Indonesia,0.00014,0.000576329536028
Ireland,0.00041,0.001654045205479
Israel,0.00094,0.003750421940104
Italy,0.00047,0.001879237987668
Jamaica,0.00022,0.000860945885417
Japan,0.00061,0.00242088326087
Jordan,0.00010,0.000387861646982
Kenya,0.00016,0.000645894142693
Kuwait,0.00020,0.000805923000941
Latvia,0.00014,0.0005609423125
Malaysia,0.00024,0.000979662624361
Mexico,0.00029,0.001160858358054
Mongolia,0.00028,0.001101125819672
Morocco,0.00034,0.001344500280803
Mozambique,0.00022,0.000885965162338
Nepal,0.00012,0.000463729379679
Netherlands,0.00036,0.001449326104911
New Zealand,0.00073,0.0029276571875
Nicaragua,0.00014,0.000574583088235
Nigeria,0.00024,0.000964092352135
Norway,0.00028,0.001132214821429
Oman,0.00010,0.000390351175364
Pakistan,0.00014,0.000545474374474
Panama,0.00018,0.000733268343099
Paraguay,0.00031,0.001223789004815
Peru,0.00024,0.000972684616942
Philippines,0.00016,0.000654318409048
Poland,0.00029,0.001149268110093
Portugal,0.00028,0.001100440658322
Qatar,0.00013,0.00053551665623
Romania,0.00021,0.000856675132605
Russia,0.00024,0.000974296186285
Saudi Arabia,0.00027,0.001080149115249
Senegal,0.00022,0.000867236122047
Serbia,0.00017,0.000683585036091
Singapore,0.00043,0.001706000446923
Slovakia,0.00027,0.001080163990461
Slovenia,0.00017,0.000680830451542
Solomon Islands,0.00080,0.003200951937985
South Africa,0.00047,0.001883668846828
Spain,0.00044,0.001763553359959
Sri Lanka,0.00012,0.000498606003359
Sweden,0.00087,0.003499396785714
Switzerland,0.00040,0.001594145125
Taiwan,0.00027,0.001062579882813
Thailand,0.00016,0.000644089
Tunisia,0.00077,0.003064555
Turkey,0.00016,0.000647110447056
Uganda,0.00097,0.0038699103125
Ukraine,0.00023,0.000914415368685
United Arab Emirates,0.00054,0.002152330416048
United Kingdom,0.00034,0.001355177845486
United States,0.00095,0.003780533754014
Uruguay,0.00036,0.00145805390625
Venezuela,0.00009,0.000374488529896
Vietnam,0.00011,0.000439726736932
Zambia,0.00014,0.000570075604839
