"t_id","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","sums","kinetic"
3234,3,1,9,10,5,7,1,9,6,3,3,6,9,10,0,7,5,4,8,0,1,7.54815735724118,0.111111111111111
2161,5,5,2,3,6,4,9,6,5,5,2,6,3,2,2,7,3,5,5,1,1,4.66950023404839,0.174603174603175
3927,7,10,2,6,9,5,8,4,9,8,6,7,5,6,10,6,5,7,9,9,8,11.0857443449058,0.147392290249433
8427,5,0,9,8,9,10,4,2,9,10,1,8,10,9,0,1,10,10,0,0,0,9.75018389780498,0.174603174603175
10332,3,1,4,4,6,4,4,6,1,8,2,5,3,3,0,6,6,5,6,0,1,4.01879431430917,0.156462585034014
1487,9,2,8,9,8,9,1,0,8,9,1,10,8,9,6,0,8,10,1,4,2,9.66153575670951,0.165532879818594
11951,5,3,5,7,2,4,10,9,4,4,3,4,9,8,2,8,7,7,2,4,5,7.12382394208846,0.147392290249433
11248,9,4,1,6,6,7,1,0,8,6,7,5,0,3,8,1,9,8,5,7,7,7.41944592992556,0.129251700680272
6713,2,7,9,4,2,3,6,6,1,2,3,4,9,3,6,7,2,2,5,7,3,5.23923053875079,0.156462585034014
4193,7,0,7,6,2,0,3,4,4,1,9,7,7,7,1,4,1,2,9,1,10,6.05087970248217,0.147392290249433
1693,2,6,2,3,1,1,8,9,3,1,9,5,1,1,10,7,1,3,10,9,10,7.22462099789912,0.160997732426304
6454,9,9,2,7,7,6,2,4,7,8,8,8,4,5,2,5,9,4,10,8,10,9.70551766968206,0.138321995464853
7101,9,3,8,6,10,5,2,2,10,10,5,9,10,9,2,4,6,9,4,4,2,9.37577334325679,0.151927437641723
10716,7,8,7,9,7,7,4,5,8,3,4,8,8,7,8,4,4,4,6,9,4,8.84369132812761,0.210884353741497
2205,0,3,9,5,4,6,5,8,0,4,4,2,4,3,1,7,6,2,8,0,3,4.70494070365951,0.120181405895692
4020,6,4,5,6,9,9,10,9,6,1,2,8,5,6,7,8,2,3,2,5,2,7.60970702726488,0.133786848072562
397,3,6,0,2,3,2,3,4,4,8,10,3,1,1,7,6,5,5,6,5,7,5.04848286442338,0.120181405895692
1336,7,4,3,4,7,6,7,5,4,9,2,3,2,1,6,7,6,9,4,4,3,6.02739763424045,0.156462585034014
8720,9,0,4,8,6,6,6,6,7,4,3,9,5,7,0,7,0,3,2,1,1,5.90269212569135,0.120181405895692
10690,1,7,7,3,3,4,9,4,3,8,6,2,3,2,6,3,4,8,8,5,8,6.32402223324568,0.147392290249433
288,3,7,8,8,5,4,0,2,6,2,9,3,8,6,2,2,2,3,10,7,9,6.77921481629923,0.133786848072562
8730,4,7,6,7,9,10,5,6,4,3,7,8,9,8,10,2,0,1,8,6,7,9.3797346921275,0.115646258503401
5699,7,5,0,6,9,6,10,2,9,9,5,7,1,1,9,3,10,10,3,6,4,9.21718518589374,0.120181405895692
9529,4,8,2,5,5,4,6,3,5,2,8,4,3,1,9,5,3,4,9,8,8,6.7405831368362,0.151927437641723
12797,0,9,3,4,0,0,5,10,1,2,9,3,5,9,9,9,3,5,9,8,9,8.81293781368169,0.183673469387755
5181,2,7,0,1,2,0,10,8,4,6,9,1,1,3,5,9,6,5,5,5,4,5.67651457022657,0.111111111111111
6331,9,4,2,8,5,6,6,6,5,6,6,8,3,5,5,8,4,6,4,5,6,7.02729707355652,0.215419501133787
10874,8,1,4,3,4,5,7,9,3,6,5,3,5,9,7,8,9,5,3,3,4,7.1118041779566,0.156462585034014
13402,2,6,5,4,2,6,3,9,3,4,4,5,1,3,4,6,7,7,6,5,7,5.36773469354605,0.147392290249433
11023,8,6,8,7,10,10,5,2,10,5,5,8,8,8,8,3,4,5,5,8,5,10.0036960788159,0.224489795918367
8001,7,4,9,7,10,9,5,3,10,10,3,5,8,8,4,5,9,9,3,3,3,9.87826365780394,0.160997732426304
12682,9,7,9,8,7,4,7,1,8,1,9,9,9,9,6,1,1,3,4,4,4,8.72001686367483,0.188208616780045
1774,2,5,9,5,8,9,4,7,6,7,3,0,9,7,5,10,3,6,3,6,3,7.89080142715749,0.129251700680272
268,9,0,9,9,7,6,1,2,5,6,3,9,10,10,1,2,8,4,5,0,1,7.99974008501108,0.111111111111111
12918,0,8,3,0,0,1,9,6,0,6,7,0,5,4,7,8,5,5,8,8,7,6.55878510968717,0.151927437641723
9443,0,1,3,0,1,2,7,8,0,0,4,0,5,5,3,7,0,0,5,3,4,3.0161160437773,0.183673469387755
7870,4,9,5,2,3,3,4,1,2,8,10,5,6,5,7,1,7,7,9,8,9,8.13697206314021,0.111111111111111
6630,8,4,8,7,7,7,6,5,8,9,5,6,6,6,8,8,9,7,6,7,5,9.93672964916719,0.201814058956916
1904,6,2,7,8,3,2,2,5,3,9,6,6,6,6,5,7,10,7,7,6,6,7.70020298429039,0.192743764172336
7545,7,4,3,4,8,4,7,5,9,6,1,7,6,5,6,4,5,5,4,5,3,6.12131359261023,0.170068027210884
11799,4,2,8,4,4,2,7,8,3,9,2,4,8,8,3,6,10,9,0,1,2,7.06804261843433,0.138321995464853
3831,8,4,0,5,8,10,2,2,8,9,8,6,1,2,2,4,9,9,5,3,6,7.6439623804743,0.129251700680272
11027,9,1,7,6,9,7,1,1,9,7,2,8,10,8,2,3,5,6,2,2,2,7.51349425470865,0.142857142857143
10169,3,8,0,0,0,3,7,10,2,6,6,4,0,1,2,7,6,7,10,6,8,6.59129900297645,0.133786848072562
383,7,7,5,0,6,4,9,5,7,7,8,3,7,9,9,8,7,4,8,9,8,9.97720425016343,0.179138321995465
9672,5,9,2,6,9,9,1,3,8,1,4,7,3,5,9,3,0,3,9,10,3,7.66784072318303,0.147392290249433
